2048
1 25 10
2 350 15
3 20 25
4 400 10
5 350 25
6 225 20
7 30 15
8 600 35
9 200 45
10 300 25
11 250 10
12 33 15
13 200 25
14 48 10
15 35 25
16 225 20
17 300 15
18 600 35
19 200 45
20 39 25
21 225 20
22 300 15
23 600 35
24 20 45
25 30 25
26 250 10
27 350 15
28 200 25
29 40 10
30 200 20
31 25 10
32 350 15
33 20 25
34 400 10
35 350 25
36 225 20
37 300 15
38 600 35
39 200 45
40 300 25
41 250 10
42 350 15
33 210 17
44 400 10
45 350 25
46 221 24
47 300 15
48 600 35
49 20 45
50 35 25
51 225 20
52 36 15
53 600 35
54 25 45
55 30 25
56 250 10
57 350 15
58 200 25
59 150 16
60 226 17
61 250 10
62 350 15
63 200 25
64 400 10
65 350 25
66 225 20
67 300 15
68 600 35
69 200 45
70 350 25
71 225 20
72 300 15
73 600 35
74 200 45
75 300 25
76 250 10
77 123 21
78 20 25
79 400 10
80 200 20
81 250 10
82 350 15
83 26 25
84 253 13
85 350 25
86 225 20
87 300 15
88 600 35
89 200 45
90 300 25
91 16 10
92 350 15
93 86 17
94 400 10
95 89 25
96 221 24
97 300 15
98 600 35
99 100 45
100 350 25
101 225 20
102 300 15
103 600 35
104 200 45
105 300 25
106 25 10
107 38 15
108 200 25
109 150 16
110 226 17
-1 -1 -1
